id,name,longitude,latitude
0021,Florida Gymnasium,-82.347272,29.649389
0552,Florida Pool Offices/Lockers,-82.347397,29.65048
0093,Florida Pool Plant,-82.347265,29.649997
0475,Food Science & Human Nutrition,-82.344395,29.646915
0871,Football Maintenance Facility,-82.355227,29.650218
1254,"Forester Office, Forestry-Acmf",-82.227044,29.743242
1255,"Forester Storage, Forestry-Acmf",-82.227007,29.743297
1139,Fuel Cell Garage,-82.360497,29.627472
1294,Fuel Storage Tank (Bru),-82.265087,29.743288
1293,Fuel Storage Tank (Hague),-82.416669,29.779451
1295,Fuel Storage Tank (Mlhpr),-82.41872,29.721512
1397,Fwc Modular Office,-82.418197,29.72206
G923,Gamma Phi Beta,-82.339002,29.643396
0910,Garage (Bru),-82.265361,29.744879
1481,Gator Band Pavilion,-82.35115,29.63929
0359,Gator Corner Dining,-82.350136,29.648049
1511,Gator Res Complex 1,,
1512,Gator Res Complex 2,,
1513,Gator Res Complex 3,,
1514,Gator Res Complex 4,,
1515,Gator Res Complex 5,,
0204,"General
Services",-82.344441,29.640099
0054,Gerson Hall,-82.340109,29.650739
0678,Golf Cart Storage,-82.365466,29.650162
0674,Golf Course Clubhouse,-82.365005,29.649991
3324,GRADhaus,-82.333508,29.652867
3324,GRADHaus,,
7220,Graduate Residence,-82.167731,29.298879
0589,Graham Area Office,-82.351059,29.645895
0591,Graham Hall,-82.350757,29.646172
0834,Greenhouse,-82.355312,29.633091
1354,Greenhouse,-82.355141,29.633167
1301,Greenhouse,-82.367018,29.633662
1302,Greenhouse,-82.366964,29.633662
1303,Greenhouse,-82.366911,29.633662
1360,Greenhouse,-82.365819,29.633693
1257,Greenhouse,-82.36677,29.63369
0074,Greenhouse,-82.359772,29.640077
0046,Greenhouse,-82.36498,29.642543
0044,Greenhouse,-82.365302,29.642617
1387,Greenhouse,,
0565,Greenhouse (Mlhpr),-82.418565,29.720842
0566,Greenhouse (Mlhpr),-82.418707,29.720761
0563,Greenhouse (Mlhpr),-82.4187,29.720849
0480,Greenhouse (Mlhpr),-82.418866,29.720876
0567,Greenhouse (Mlhpr),-82.41864,29.720757
0564,Greenhouse (Mlhpr),-82.418631,29.720845
1281,Greenhouse (Mlhpr),-82.417338,29.727609
0568,Greenhouse (Mlhpr),-82.418575,29.720754
0581,Greenhouse (Mlhpr),-82.41772,29.727621
1345,Greenhouse (Mlhpr),-82.415646,29.720175
0784,Greenhouse (Mlphr),-82.419429,29.721417
0824,"Greenhouse, Agronomy",-82.353858,29.628426
0360,"Greenhouse, Agronomy",-82.354979,29.633138
0485,"Greenhouse, CLAS",-82.346241,29.644344
0485,"Greenhouse, CLAS",,
0798,"Greenhouse, Entomology",-82.356256,29.626911
1268,"Greenhouse, Entomology",-82.366609,29.633645
0492,"Greenhouse, Entomology",-82.366607,29.633703
0491,"Greenhouse, Entomology",-82.366606,29.633753
1274,"Greenhouse, Entomology",-82.367074,29.633757
1275,"Greenhouse, Entomology",-82.367021,29.633757
1276,"Greenhouse, Entomology",-82.366968,29.633756
1277,"Greenhouse, Entomology",-82.366915,29.633756
0047,"Greenhouse, Plant Pathology",-82.356043,29.639124
0055,"Greenhouse, Plant Pathology",-82.355972,29.639124
0090,"Greenhouse, Plant Pathology",-82.356043,29.639194
0088,"Greenhouse, Plant Pathology",-82.355973,29.639195
0010,Griffin-Floyd Hall,-82.34378,29.65012
0002,Grinter Hall,-82.342091,29.649283
3253,Haile Primary Care Clinic,-82.438619,29.604531
0309,Harn Museum of Art,-82.370244,29.636924
0214,"Harrell Medical
Education Building",-82.344466,29.642014
1366,Hay Barn,-82.490813,29.925326
7210,Hay Barn,-82.171572,29.303407
8028,Hay Storage,-85.1867,30.862417
1373,Head House,-82.355311,29.632822
0076,Head house,-82.36499,29.64271
0549,Head House,-82.35612,29.63939
7710,Headhouse,-81.438146,26.462206
1749,Health Center Radio Tower,-82.373411,29.640183
0698,Health Center Surge #2,-82.367323,29.631122
0212,"Health Prof, 
Nursing, Pharmacy",-82.345259,29.641652
1090,Health Sci Ctr Admin Services,-82.342389,29.636513
0892,HealthStreet,-82.359707,29.63186
0065,Heavener Hall,-82.339913,29.65159
1314,Heifer Rear Ofc/Res (Hague),-82.410351,29.79407
0160,Heritage Hall,-82.348622,29.6511
8800,Hispanic/Latino Cultures Inst (IHLC),-82.34197,29.65233
0757,Holland Law Center,-82.359058,29.649747
0940,Honey Lab,-82.356358,29.627187
1618,Horse Barn,-82.347813,29.63149
1400,Hort Teaching Garden Facility,,
1325,Hospital Barn (Hague),-82.416187,29.779485
SP10,Hospital Parking Garage,-82.339671,29.639243
S150,Hotel Eleo,,
0064,Hough Hall,-82.340706,29.650409
0541,Housing Furniture Shop,-82.366436,29.631847
0753,Housing Office,-82.339804,29.644166
1198,Housing Specialty Shop,-82.366349,29.632434
1199,Housing Supply Warehouse,-82.366296,29.631297
3381,HR Building,,
2020,HSC Modular Building,-82.353923,29.637524
0032,Hub,-82.345583,29.648187
0454,"Human Development 
Center",-82.342915,29.640608
3381,Human Resources Building,-82.334055,29.651766
0576,Hume Commons,-82.352506,29.644525
0575,Hume East,-82.351683,29.644533
0577,Hume West ,-82.353295,29.644573
T005,Hydrogen Research,-82.360141,29.627342
0089,IFAS Admin Services,-82.356627,29.638774
0345,IFAS Agro Lab,-82.355451,29.633497
0350,IFAS Agro Lab,-82.35567,29.633509
0310,IFAS Chiller,,
0069,IFAS Communication Services,-82.357328,29.638755
0344,IFAS Conference Ctr (AGY),-82.355247,29.633501
0063,IFAS Office / Lab,-82.35693,29.638507
0433,IFAS Pump House,-82.354562,29.628697
0342,IFAS Storage (Agy),-82.354821,29.633447
7321,Indian River Research and Education Center,-80.408165,27.426235
0860,"Indoor
Football
Facility",-82.352625,29.650622
3485,Infinity Hall Entrepreneurial Student Housing,-82.334887,29.650728
3485,Infinity Hall Entrepreneurial Student Housing,,
0018,Infirmary,-82.346593,29.649527
0904,Information Booth,,
8740,Institute Of Black Culture (IBC),-82.34219,29.65233
1633,Interim Library Facility 1,-82.273708,29.699894
1634,Interim Library Facility 2,-82.273033,29.699869
0562,"James G. 
Pressly 
Stadium",-82.355164,29.649263
0857,James W. Bill Heavener Football Training Center,-82.352366,29.649995
0593,Jennings Hall A,-82.341683,29.644439
0594,Jennings Hall B,-82.342021,29.644007
0595,Jennings Hall C ,-82.342611,29.643728
0596,Jennings Hall Office,-82.342222,29.644387
0400,Kappa Alpha,-82.356663,29.645788
0415,Kappa Delta,-82.336527,29.644625
3390,Kappa Kappa Gamma,-82.338906,29.648109
0902,Kappa Sigma,-82.336909,29.643191
1160,Katie Seashole Pressly Softball Stadium,-82.365182,29.638258
0008,Keene-Flint Hall,-82.343955,29.651432
1001,Keys Commons,-82.353348,29.647716
1010,Keys Residential Complex,-82.353495,29.647358
1008,Keys Residential Complex,-82.354128,29.647545
1007,Keys Residential Complex,-82.354516,29.647589
1009,Keys Residential Complex,-82.353757,29.64758
1006,Keys Residential Complex,-82.354899,29.647645
1004,Keys Residential Complex,-82.354314,29.647877
1003,Keys Residential Complex,-82.353925,29.6479
1005,Keys Residential Complex,-82.354655,29.648011
1002,Keys Residential Complex,-82.353465,29.648053
0504,Lab/Storage Facility (Mlhpr),-82.41917,29.721095
7207,Laboratory Bldg,-82.167165,29.30014
1123,Lacrosse Locker,-82.366327,29.636048
0925,"Lake Mize Restrms, Forestry-Acmf",-82.219298,29.732214
0925,"Lake Mize Restrms, Forestry-Acmf",-82.219292,29.750611
1159,Lake Wauburg North Shop,-82.306462,29.53422
1158,Lake Wauburg North Storage Shed,-82.306427,29.534268
1180,Lakeside Commons,-82.366213,29.641857
1184,Lakeside Res Bldg,-82.366835,29.641135
1185,Lakeside Res Bldg,-82.366074,29.641342
1181,Lakeside Res Bldg,-82.365002,29.641523
1183,Lakeside Res Bldg,-82.366815,29.641813
1182,Lakeside Res Bldg,-82.365557,29.641812
0421,Lambda Chi Alpha,-82.355771,29.645433
0722,Larsen Hall,-82.34738,29.643117
0009,Leigh Hall,-82.344286,29.650431
1000,Lemerand Center,-82.353842,29.648772
0764,Levin Advocacy Ctr,-82.359344,29.64884
1632,Library Storage,-82.289277,29.683634
1631,Library Storage,-82.289042,29.683505
0689,Library West,-82.342891,29.651383
0655,Little Hall,-82.340735,29.648855
0556,Little Hall Express,-82.341347,29.648722
0725,MAE A,-82.348274,29.643299
0720,MAE B,-82.34944,29.646368
0183,MAE C,-82.349504,29.647356
8027,Maintenance,-85.186695,30.862834
7203,Maintenance Building,-82.167054,29.298514
1333,Maintenance Building (Hague),-82.41668,29.776367
1024,Malachowsky DSIT,-82.360141,29.627342
0041,Mallory Hall,-82.340311,29.646778
1349,Manure Research Support Facility,-82.348893,29.59956
1353,Manure Storage Facility,-82.348893,29.59956
0043,Marston Science Library,-82.343943,29.647947
0719,"Materials 
Engineering",-82.349193,29.646688
0406,Matherly Hall,-82.341044,29.651633
0495,Mccarty Hall A,-82.345551,29.646972
0496,Mccarty Hall B,-82.344926,29.64675
0497,Mccarty Hall C,-82.345369,29.646669
0498,Mccarty Hall D,-82.344373,29.646492
1100,Mccarty Walkways,-82.345101,29.647046
1100,Mccarty Walkways,-82.345101,29.647046
0341,Mcguire Center,-82.370618,29.636121
0059,Mcknight Brain Institute,-82.343218,29.641861
1646,Medium Voltage Electrical Room,-82.370122,29.635411
0981,"Microbiology/Cell
Science",-82.362949,29.639959
0099,Microkelvin Laboratory,-82.346436,29.648045
1334,Milking Parlor (Hague),-82.41566,29.778684
0887,Multipurpose Facility,-82.359571,29.630652
0135,Murphree Hall,-82.346734,29.651215
0117,Music Building,-82.342892,29.648233
0070,Nanoscale Research,-82.34617,29.642765
0795,Natl Storage,-82.367678,29.633339
0772,Neurobiological Surge #6,-82.367736,29.630647
0013,Newell Hall,-82.345188,29.649087
0832,"Newins-Ziegler
Hall",-82.345721,29.645386
0102,Norman Gym,-82.337993,29.646255
0101,Norman Hall,-82.338122,29.646856
0103,Norman Hall Addition,-82.337549,29.646582
1105,Norman Hall Walkways,-82.337732,29.646993
0050,North Hall,-82.350755,29.647895
0634,Nuclear Sciences,-82.348037,29.647349
0094,O`Connell Center,-82.351173,29.649432
3343,Oak Hammock,-82.360648,29.605156
0067,Observatory,-82.349043,29.643032
0091,O'Connell Storage,-82.352208,29.649937
0098,Oconnell Warm-Up Pool Plant,-82.350794,29.648714
1347,Office Building,-82.26543,29.743471
1309,Office Building,-82.495189,29.925201
0782,Office Building,-82.415039,29.720532
0786,Office Building (Mlhpr),-82.415361,29.720505
1381,One Innovative Chiller,-82.471819,29.780364
1382,One Innovative Storage,-82.47184,29.78024
1178,"Orthopaedics & Sports 
Medicine Institute",-82.373788,29.6384
1448,P.K. Yonge Home Dugout,-82.332404,29.638289
SP12,Parking Garage,-82.339635,29.63836
0207,"Parking Garage 1 
(Shands East)",-82.342082,29.641087
0208,"Parking Garage 10 
(Shands E)",-82.341678,29.640648
1166,"Parking Garage 11 
(Perf Arts)",-82.368437,29.63631
0187,Parking Garage 14,-82.35195,29.64199
0209,"Parking Garage 2
(Shands West)",-82.346774,29.638877
0364,"Parking Garage 3 
(Shands West)",-82.347763,29.638668
0358,"Parking Garage 4 
(Museum Rd)",-82.34301,29.645277
0397,Parking Garage 5,-82.351266,29.643271
1091,"Parking Garage 6 
(Sw 16th St)",-82.342358,29.637206
0148,Parking Garage 7 (Oconnell),-82.351537,29.650604
0442,"Parking Garage 8 
(Norman)",-82.337495,29.645514
0166,Parking Garage 9 (Archer),-82.348977,29.636166
0173,Parking Garage 9 (Archer),-82.349129,29.636492
0254,Parking Garage Complex,-82.349704,29.640549
0746,"Particle Science 
& Technology",-82.347857,29.641467
1377,Pathogens,-82.351919,29.637341
0004,Peabody Hall,-82.342051,29.650088
1330,Pesticide Load/Mix (Bru),-82.264987,29.743206
1328,Pesticide Mix/Load (Forage),-82.410758,29.802184
1329,Pesticide Mix/Load (Hague),-82.416439,29.779728
1338,Pesticide Mix/Load (Mlhpr),-82.419115,29.721322
1236,Pesticides Storage (Bru),-82.264873,29.743164
0856,Phelps Lab,-82.34884,29.644561
3394,Phi Delta Theta,-82.338858,29.65057
0424,Phi Gamma Delta,-82.357047,29.646391
3416,Phi Kappa Tau,-82.33845,29.649905
0416,Phi Mu,-82.337618,29.643906
0315,Phillips Center,-82.369288,29.635281
0092,Physics Building,-82.349798,29.643902
1315,Physiology Barn (Hague),-82.415142,29.77892
1341,Physiology Barn (Hague),-82.415803,29.779145
0398,Pi Kappa Alpha,-82.348109,29.652515
0432,Pi Lambda Phi,-82.35556,29.648059
0435,"Picnic Shelter, Forestry-Acmf",-82.219405,29.732162
1430,PK Elementary Wing,-82.334349,29.641051
1154,PKY  School H  Addition,-82.3345,29.641266
1155,PKY  School L  Addition,-82.335151,29.639439
1110,PKY  School Walkways,,
0524,PKY Develop.Research School A,-82.335261,29.640363
0512,PKY Develop.Research School E,-82.334999,29.639796
0521,PKY Develop.Research School N,-82.334904,29.639213
0523,PKY Develop.Research School P,-82.33432,29.638816
0606,PKY Develop.Research School Q,-82.334136,29.639188
1432,PKY Middle High,-82.33542,29.64093
0509,PKY School Covered Court,-82.333978,29.64182
1429,PKY School Temporary,,
1428,PKY School Temporary,,
